DATE,AGE_GROUP,CASE_COUNT
2020-11-12,65-74,29901
2020-11-12,75+,27309
2020-11-11,0-17,11959
2020-11-11,18-44,104837
2020-11-11,45-64,134194
2020-11-11,65-74,29823
2020-11-11,75+,27258
2020-11-10,0-17,11832
2020-11-10,18-44,104327
2020-11-10,45-64,133829
2020-11-10,65-74,29763
2020-11-10,75+,27231
2020-11-09,0-17,11720
2020-11-09,18-44,103861
2020-11-09,45-64,133494
2020-11-09,65-74,29702
2020-11-09,75+,27201
2020-11-08,0-17,11637
2020-11-08,18-44,103576
2020-11-08,45-64,89315
2020-11-08,65-74,29671
2020-11-08,75+,27189
2020-11-07,0-17,11532
2020-11-07,18-44,103266
2020-11-07,45-64,89169
2020-11-07,65-74,29625
2020-11-07,75+,27149
2020-11-06,0-17,11397
2020-11-06,18-44,102606
2020-11-06,45-64,88908
2020-11-06,65-74,29569
2020-11-06,75+,27105
2020-11-05,0-17,11259
2020-11-05,18-44,102051
2020-11-05,45-64,88661
2020-11-05,65-74,29473
2020-11-05,75+,27061
2020-11-04,0-17,11133
2020-11-04,18-44,101672
2020-11-04,45-64,88492
2020-11-04,65-74,29392
2020-11-04,75+,27016
2020-11-03,0-17,11045
2020-11-03,18-44,101390
2020-11-03,45-64,88327
2020-11-03,65-74,29356
2020-11-03,75+,26997
2020-11-02,0-17,10950
2020-11-02,18-44,101017
2020-11-02,45-64,88164
2020-11-02,65-74,29300
2020-11-02,75+,26952
2020-11-01,0-17,10897
2020-11-01,18-44,100789
2020-11-01,45-64,88045
2020-11-01,65-74,29273
2020-11-01,75+,26932
2020-10-31,0-17,10827
2020-10-31,18-44,100475
2020-10-31,45-64,87901
2020-10-31,65-74,29239
2020-10-31,75+,26910
2020-10-30,0-17,10734
2020-10-30,18-44,100159
2020-10-30,45-64,87739
2020-10-30,65-74,29202
2020-10-30,75+,26877
2020-10-29,0-17,10589
2020-10-29,18-44,99590
2020-10-29,45-64,87462
2020-10-29,65-74,29128
2020-10-29,75+,26825
2020-10-28,0-17,10550
2020-10-28,18-44,99444
2020-10-28,45-64,87377
2020-10-28,65-74,29099
2020-10-28,75+,26813
2020-10-27,0-17,10485
2020-10-27,18-44,99135
2020-10-27,45-64,87255
2020-10-27,65-74,29059
2020-10-27,75+,26790
2020-10-26,0-17,10395
2020-10-26,18-44,98884
2020-10-26,45-64,87089
2020-10-26,65-74,29025
2020-10-26,75+,26763
2020-10-25,0-17,10336
2020-10-25,18-44,98707
2020-10-25,45-64,86998
2020-10-25,65-74,28999
2020-10-25,75+,26749
2020-10-24,0-17,10287
2020-10-24,18-44,98564
2020-10-24,45-64,86897
2020-10-24,65-74,28971
2020-10-24,75+,26727
2020-10-23,0-17,10208
2020-10-23,18-44,97996
2020-10-23,45-64,86667
2020-10-23,65-74,28922
2020-10-23,75+,26686
2020-10-22,0-17,10147
2020-10-22,18-44,97761
2020-10-22,45-64,86552
2020-10-22,65-74,28879
2020-10-22,75+,26655
2020-10-21,0-17,10086
2020-10-21,18-44,97546
2020-10-21,45-64,86434
2020-10-21,65-74,28849
2020-10-21,75+,26644
2020-10-20,0-17,9998
2020-10-20,18-44,97191
2020-10-20,45-64,86256
2020-10-20,65-74,28787
2020-10-20,75+,26611
2020-10-19,0-17,9939
2020-10-19,18-44,96993
2020-10-19,45-64,86155
2020-10-19,65-74,28761
2020-10-19,75+,26608
2020-10-18,0-17,9867
2020-10-18,18-44,96739
2020-10-18,45-64,86030
2020-10-18,65-74,28717
2020-10-18,75+,26581
2020-10-17,0-17,9805
2020-10-17,18-44,96499
2020-10-17,45-64,85902
2020-10-17,65-74,28674
2020-10-17,75+,26565
2020-10-16,0-17,9712
2020-10-16,18-44,96251
2020-10-16,45-64,85760
2020-10-16,65-74,28631
2020-10-16,75+,26547
2020-10-15,0-17,9629
2020-10-15,18-44,95985
2020-10-15,45-64,85630
2020-10-15,65-74,28586
2020-10-15,75+,26515
2020-10-14,0-17,9580
2020-10-14,18-44,95764
2020-10-14,45-64,85517
2020-10-14,65-74,28549
2020-10-14,75+,26496
2020-10-13,0-17,9518
2020-10-13,18-44,95504
2020-10-13,45-64,85405
2020-10-13,65-74,28509
2020-10-13,75+,26470
2020-10-12,0-17,9469
2020-10-12,18-44,95295
2020-10-12,45-64,85291
2020-10-12,65-74,28476
2020-10-12,75+,26459
2020-10-11,0-17,9427
2020-10-11,18-44,95123
2020-10-11,45-64,85199
2020-10-11,65-74,28455
2020-10-11,75+,26434
2020-10-10,0-17,9353
2020-10-10,18-44,94892
2020-10-10,45-64,85100
2020-10-10,65-74,28413
2020-10-10,75+,26408
2020-10-09,0-17,9265
2020-10-09,18-44,94541
2020-10-09,45-64,84946
2020-10-09,65-74,28371
2020-10-09,75+,26363
2020-10-08,0-17,9176
2020-10-08,18-44,94249
2020-10-08,45-64,84787
2020-10-08,65-74,28298
2020-10-08,75+,26327
2020-10-07,0-17,9131
2020-10-07,18-44,94025
2020-10-07,45-64,84685
2020-10-07,65-74,28265
2020-10-07,75+,26308
2020-10-06,0-17,9025
2020-10-06,18-44,93759
2020-10-06,45-64,84545
2020-10-06,65-74,28216
2020-10-06,75+,26283
2020-10-05,0-17,8913
2020-10-05,18-44,93578
2020-10-05,45-64,84429
2020-10-05,65-74,28182
2020-10-05,75+,26252
2020-10-04,0-17,8847
2020-10-04,18-44,93365
2020-10-04,45-64,84337
2020-10-04,65-74,28133
2020-10-04,75+,26232
2020-10-03,0-17,8766
2020-10-03,18-44,93096
2020-10-03,45-64,84215
2020-10-03,65-74,28103
2020-10-03,75+,26206
2020-10-02,0-17,8666
2020-10-02,18-44,92804
2020-10-02,45-64,84060
2020-10-02,65-74,28067
2020-10-02,75+,26179
2020-10-01,0-17,8574
2020-10-01,18-44,92491
2020-10-01,45-64,83954
2020-10-01,65-74,28037
2020-10-01,75+,26142
2020-09-30,0-17,8519
2020-09-30,18-44,92266
2020-09-30,45-64,83833
2020-09-30,65-74,27991
2020-09-30,75+,26120
2020-09-29,0-17,8466
2020-09-29,18-44,92017
2020-09-29,45-64,83702
2020-09-29,65-74,27955
2020-09-29,75+,26106
2020-09-28,0-17,8405
2020-09-28,18-44,91814
2020-09-28,45-64,83609
2020-09-28,65-74,27934
2020-09-28,75+,26089
2020-09-27,0-17,8367
2020-09-27,18-44,91613
2020-09-27,45-64,83523
2020-09-27,65-74,27908
2020-09-27,75+,26072
2020-09-26,0-17,8318
2020-09-26,18-44,91437
2020-09-26,45-64,83446
2020-09-26,65-74,27890
2020-09-26,75+,26050
2020-09-25,0-17,8256
2020-09-25,18-44,91220
2020-09-25,45-64,83358
2020-09-25,65-74,27865
2020-09-25,75+,26039
2020-09-24,0-17,8195
2020-09-24,18-44,91021
2020-09-24,45-64,83271
2020-09-24,65-74,27840
2020-09-24,75+,26018
2020-09-23,0-17,8146
2020-09-23,18-44,90823
2020-09-23,45-64,83193
2020-09-23,65-74,27812
2020-09-23,75+,25996
2020-09-22,0-17,8134
2020-09-22,18-44,90709
2020-09-22,45-64,83139
2020-09-22,65-74,27798
2020-09-22,75+,25985
2020-09-21,0-17,8088
2020-09-21,18-44,90566
2020-09-21,45-64,83063
2020-09-21,65-74,27780
2020-09-21,75+,25983
2020-09-20,0-17,8059
2020-09-20,18-44,90397
2020-09-20,45-64,82974
2020-09-20,65-74,27763
2020-09-20,75+,25967
2020-09-19,0-17,8037
2020-09-19,18-44,90280
2020-09-19,45-64,82939
2020-09-19,65-74,27750
2020-09-19,75+,25965
2020-09-18,0-17,7950
2020-09-18,18-44,89924
2020-09-18,45-64,82802
2020-09-18,65-74,27706
2020-09-18,75+,25955
2020-09-17,0-17,7921
2020-09-17,18-44,89746
2020-09-17,45-64,82724
2020-09-17,65-74,27677
2020-09-17,75+,25941
2020-09-16,0-17,7896
2020-09-16,18-44,89592
2020-09-16,45-64,82673
2020-09-16,65-74,27650
2020-09-16,75+,25925
2020-09-15,0-17,7862
2020-09-15,18-44,89451
2020-09-15,45-64,82619
2020-09-15,65-74,27637
2020-09-15,75+,25914
2020-09-14,0-17,7831
2020-09-14,18-44,89268
2020-09-14,45-64,82530
2020-09-14,65-74,27615
2020-09-14,75+,25904
2020-09-12,0-17,7804
2020-09-12,18-44,89032
2020-09-12,45-64,82424
2020-09-12,65-74,27583
2020-09-12,75+,25887
2020-09-11,0-17,7779
2020-09-11,18-44,88869
2020-09-11,45-64,82349
2020-09-11,65-74,27565
2020-09-11,75+,25878
2020-09-10,0-17,7750
2020-09-10,18-44,88753
2020-09-10,45-64,82297
2020-09-10,65-74,27550
2020-09-10,75+,25874
2020-09-09,0-17,7695
2020-09-09,18-44,88515
2020-09-09,45-64,82171
2020-09-09,65-74,27505
2020-09-09,75+,25860
2020-09-08,0-17,7670
2020-09-08,18-44,88418
2020-09-08,45-64,82124
2020-09-08,65-74,27491
2020-09-08,75+,25847
2020-09-07,0-17,7672
2020-09-07,18-44,88303
2020-09-07,45-64,82052
2020-09-07,65-74,27479
2020-09-07,75+,25839
2020-09-05,0-17,7637
2020-09-05,18-44,88181
2020-09-05,45-64,82012
2020-09-05,65-74,27463
2020-09-05,75+,25822
2020-09-04,0-17,7614
2020-09-04,18-44,88026
2020-09-04,45-64,81926
2020-09-04,65-74,27441
2020-09-04,75+,25805
2020-09-03,0-17,7590
2020-09-03,18-44,87924
2020-09-03,45-64,81863
2020-09-03,65-74,27421
2020-09-03,75+,25794
2020-09-02,0-17,7550
2020-09-02,18-44,87742
2020-09-02,45-64,81789
2020-09-02,65-74,27402
2020-09-02,75+,25781
2020-09-01,0-17,7514
2020-09-01,18-44,87617
2020-09-01,45-64,81733
2020-09-01,65-74,27390
2020-09-01,75+,25764
2020-08-31,0-17,7483
2020-08-31,18-44,87476
2020-08-31,45-64,81644
2020-08-31,65-74,27372
2020-08-31,75+,25751
2020-08-30,0-17,7462
2020-08-30,18-44,87364
2020-08-30,45-64,81593
2020-08-30,65-74,27354
2020-08-30,75+,25731
2020-08-29,0-17,7443
2020-08-29,18-44,87238
2020-08-29,45-64,81528
2020-08-29,65-74,27335
2020-08-29,75+,25730
2020-08-28,0-17,7407
2020-08-28,18-44,87119
2020-08-28,45-64,81472
2020-08-28,65-74,27323
2020-08-28,75+,25718
2020-08-27,0-17,7372
2020-08-27,18-44,86956
2020-08-27,45-64,81402
2020-08-27,65-74,27299
2020-08-27,75+,25700
2020-08-26,0-17,7347
2020-08-26,18-44,86846
2020-08-26,45-64,81328
2020-08-26,65-74,27277
2020-08-26,75+,25693
2020-08-25,0-17,7331
2020-08-25,18-44,86748
2020-08-25,45-64,81283
2020-08-25,65-74,27265
2020-08-25,75+,25680
2020-08-24,0-17,7314
2020-08-24,18-44,86670
2020-08-24,45-64,81236
2020-08-24,65-74,27250
2020-08-24,75+,25670
2020-08-23,0-17,7285
2020-08-23,18-44,86569
2020-08-23,45-64,81196
2020-08-23,65-74,27235
2020-08-23,75+,25666
2020-08-22,0-17,7252
2020-08-22,18-44,86413
2020-08-22,45-64,81125
2020-08-22,65-74,27221
2020-08-22,75+,25653
2020-08-21,0-17,7227
2020-08-21,18-44,86310
2020-08-21,45-64,81065
2020-08-21,65-74,27210
2020-08-21,75+,25641
2020-08-20,0-17,7211
2020-08-20,18-44,86192
2020-08-20,45-64,81007
2020-08-20,65-74,27199
2020-08-20,75+,25638
2020-08-19,0-17,7162
2020-08-19,18-44,86041
2020-08-19,45-64,80934
2020-08-19,65-74,27188
2020-08-19,75+,25617
2020-08-18,0-17,7134
2020-08-18,18-44,85916
2020-08-18,45-64,80852
2020-08-18,65-74,27167
2020-08-18,75+,25611
2020-08-17,0-17,7108
2020-08-17,18-44,85826
2020-08-17,45-64,80812
2020-08-17,65-74,27146
2020-08-17,75+,25605
2020-08-16,0-17,7087
2020-08-16,18-44,85711
2020-08-16,45-64,80755
2020-08-16,65-74,27130
2020-08-16,75+,25594
2020-08-15,0-17,7055
2020-08-15,18-44,85537
2020-08-15,45-64,80630
2020-08-15,65-74,27084
2020-08-15,75+,25577
2020-08-14,0-17,7006
2020-08-14,18-44,85384
2020-08-14,45-64,80553
2020-08-14,65-74,27055
2020-08-14,75+,25561
2020-08-13,0-17,6978
2020-08-13,18-44,85225
2020-08-13,45-64,80465
2020-08-13,65-74,27023
2020-08-13,75+,25540
2020-08-12,0-17,6928
2020-08-12,18-44,85013
2020-08-12,45-64,80347
2020-08-12,65-74,26985
2020-08-12,75+,25529
2020-08-11,0-17,6904
2020-08-11,18-44,84816
2020-08-11,45-64,80248
2020-08-11,65-74,26957
2020-08-11,75+,25513
2020-08-10,0-17,6881
2020-08-10,18-44,84699
2020-08-10,45-64,80189
2020-08-10,65-74,26938
2020-08-10,75+,25495
2020-08-09,0-17,6855
2020-08-09,18-44,84582
2020-08-09,45-64,80119
2020-08-09,65-74,26918
2020-08-09,75+,25481
2020-08-08,0-17,6819
2020-08-08,18-44,84425
2020-08-08,45-64,80037
2020-08-08,65-74,26889
2020-08-08,75+,25467
2020-08-07,0-17,6803
2020-08-07,18-44,84298
2020-08-07,45-64,79965
2020-08-07,65-74,26884
2020-08-07,75+,25451
2020-08-06,0-17,6769
2020-08-06,18-44,84079
2020-08-06,45-64,79857
2020-08-06,65-74,26861
2020-08-06,75+,25431
2020-08-05,0-17,6744
2020-08-05,18-44,83925
2020-08-05,45-64,79780
2020-08-05,65-74,26842
2020-08-05,75+,25412
2020-08-04,0-17,6702
2020-08-04,18-44,83731
2020-08-04,45-64,79704
2020-08-04,65-74,26821
2020-08-04,75+,25398
2020-08-03,0-17,6683
2020-08-03,18-44,83561
2020-08-03,45-64,79620
2020-08-03,65-74,26798
2020-08-03,75+,25376
2020-08-02,0-17,6670
2020-08-02,18-44,83449
2020-08-02,45-64,79570
2020-08-02,65-74,26783
2020-08-02,75+,25374
2020-08-01,0-17,6658
2020-08-01,18-44,83329
2020-08-01,45-64,79518
2020-08-01,65-74,26764
2020-08-01,75+,25366
2020-07-31,0-17,6637
2020-07-31,18-44,83177
2020-07-31,45-64,79434
2020-07-31,65-74,26739
2020-07-31,75+,25352
2020-07-30,0-17,6608
2020-07-30,18-44,83015
2020-07-30,45-64,79375
2020-07-30,65-74,26723
2020-07-30,75+,25331
2020-07-29,0-17,6588
2020-07-29,18-44,82843
2020-07-29,45-64,79292
2020-07-29,65-74,26697
2020-07-29,75+,25316
2020-07-28,0-17,6564
2020-07-28,18-44,82674
2020-07-28,45-64,79208
2020-07-28,65-74,26674
2020-07-28,75+,25303
2020-07-27,0-17,6532
2020-07-27,18-44,82454
2020-07-27,45-64,79096
2020-07-27,65-74,26641
2020-07-27,75+,25275
2020-07-26,0-17,6517
2020-07-26,18-44,82347
2020-07-26,45-64,79034
2020-07-26,65-74,26621
2020-07-26,75+,25262
2020-07-25,0-17,6507
2020-07-25,18-44,82305
2020-07-25,45-64,79009
2020-07-25,65-74,26613
2020-07-25,75+,25252
2020-07-24,0-17,6484
2020-07-24,18-44,82061
2020-07-24,45-64,78822
2020-07-24,65-74,26560
2020-07-24,75+,25229
2020-07-23,0-17,6459
2020-07-23,18-44,81976
2020-07-23,45-64,78802
2020-07-23,65-74,26548
2020-07-23,75+,25221
2020-07-22,0-17,6438
2020-07-22,18-44,81758
2020-07-22,45-64,78718
2020-07-22,65-74,26525
2020-07-22,75+,25205
2020-07-21,0-17,6431
2020-07-21,18-44,81703
2020-07-21,45-64,78695
2020-07-21,65-74,26515
2020-07-21,75+,25202
2020-07-20,0-17,6398
2020-07-20,18-44,81399
2020-07-20,45-64,78528
2020-07-20,65-74,26496
2020-07-20,75+,25178
2020-07-19,0-17,6381
2020-07-19,18-44,81220
2020-07-19,45-64,78448
2020-07-19,65-74,26472
2020-07-19,75+,25160
2020-07-18,0-17,6367
2020-07-18,18-44,81071
2020-07-18,45-64,78386
2020-07-18,65-74,26448
2020-07-18,75+,25145
2020-07-17,0-17,6341
2020-07-17,18-44,80889
2020-07-17,45-64,78302
2020-07-17,65-74,26430
2020-07-17,75+,25122
2020-07-16,0-17,6323
2020-07-16,18-44,80715
2020-07-16,45-64,78200
2020-07-16,65-74,26414
2020-07-16,75+,25098
2020-07-15,0-17,6286
2020-07-15,18-44,80527
2020-07-15,45-64,78077
2020-07-15,65-74,26394
2020-07-15,75+,25071
2020-07-14,0-17,6254
2020-07-14,18-44,80321
2020-07-14,45-64,77998
2020-07-14,65-74,26369
2020-07-14,75+,25048
2020-07-13,0-17,6235
2020-07-13,18-44,80181
2020-07-13,45-64,77918
2020-07-13,65-74,26352
2020-07-13,75+,25035
2020-07-12,0-17,6224
2020-07-12,18-44,80020
2020-07-12,45-64,77851
2020-07-12,65-74,26331
2020-07-12,75+,25021
2020-07-11,0-17,6206
2020-07-11,18-44,79830
2020-07-11,45-64,77762
2020-07-11,65-74,26314
2020-07-11,75+,25008
2020-07-10,0-17,6187
2020-07-10,18-44,79650
2020-07-10,45-64,77661
2020-07-10,65-74,26298
2020-07-10,75+,24996
2020-07-09,0-17,6161
2020-07-09,18-44,79477
2020-07-09,45-64,77582
2020-07-09,65-74,26279
2020-07-09,75+,24980
2020-07-08,0-17,6134
2020-07-08,18-44,79282
2020-07-08,45-64,77474
2020-07-08,65-74,26250
2020-07-08,75+,24957
2020-07-07,0-17,6124
2020-07-07,18-44,79177
2020-07-07,45-64,77420
2020-07-07,65-74,26239
2020-07-07,75+,24938
2020-07-06,0-17,6105
2020-07-06,18-44,78996
2020-07-06,45-64,77344
2020-07-06,65-74,26220
2020-07-06,75+,24925
2020-07-05,0-17,6087
2020-07-05,18-44,78892
2020-07-05,45-64,77289
2020-07-05,65-74,26201
2020-07-05,75+,24912
2020-07-04,0-17,6069
2020-07-04,18-44,78741
2020-07-04,45-64,77203
2020-07-04,65-74,26177
2020-07-04,75+,24897
2020-07-03,0-17,6047
2020-07-03,18-44,78550
2020-07-03,45-64,77103
2020-07-03,65-74,26154
2020-07-03,75+,24884
2020-07-02,0-17,6025
2020-07-02,18-44,78333
2020-07-02,45-64,76965
2020-07-02,65-74,26125
2020-07-02,75+,24853
2020-07-01,0-17,5997
2020-07-01,18-44,78182
2020-07-01,45-64,76854
2020-07-01,65-74,26085
2020-07-01,75+,24822
2020-06-30,0-17,5978
2020-06-30,18-44,78008
2020-06-30,45-64,76761
2020-06-30,65-74,26053
2020-06-30,75+,24800
2020-06-29,0-17,5955
2020-06-29,18-44,77788
2020-06-29,45-64,76611
2020-06-29,65-74,26001
2020-06-29,75+,24742
2020-06-28,0-17,5935
2020-06-28,18-44,77625
2020-06-28,45-64,76516
2020-06-28,65-74,25972
2020-06-28,75+,24709
2020-06-27,0-17,5926
2020-06-27,18-44,77473
2020-06-27,45-64,76404
2020-06-27,65-74,25951
2020-06-27,75+,24684
2020-06-26,0-17,5911
2020-06-26,18-44,77281
2020-06-26,45-64,76304
2020-06-26,65-74,25917
2020-06-26,75+,24644
2020-06-25,0-17,5895
2020-06-25,18-44,77142
2020-06-25,45-64,76192
2020-06-25,65-74,25880
2020-06-25,75+,24611
2020-06-24,0-17,5884
2020-06-24,18-44,77010
2020-06-24,45-64,76100
2020-06-24,65-74,25847
2020-06-24,75+,24587
2020-06-23,0-17,5874
2020-06-23,18-44,76854
2020-06-23,45-64,75998
2020-06-23,65-74,25815
2020-06-23,75+,24559
2020-06-22,0-17,5867
2020-06-22,18-44,76751
2020-06-22,45-64,75909
2020-06-22,65-74,25789
2020-06-22,75+,24539
2020-06-21,0-17,5832
2020-06-21,18-44,76521
2020-06-21,45-64,75723
2020-06-21,65-74,25731
2020-06-21,75+,24499
2020-06-20,0-17,5819
2020-06-20,18-44,76392
2020-06-20,45-64,75621
2020-06-20,65-74,25704
2020-06-20,75+,24464
2020-06-19,0-17,5801
2020-06-19,18-44,76261
2020-06-19,45-64,75494
2020-06-19,65-74,25672
2020-06-19,75+,24415
2020-06-18,0-17,5789
2020-06-18,18-44,76152
2020-06-18,45-64,75388
2020-06-18,65-74,25648
2020-06-18,75+,24390
2020-06-17,0-17,5768
2020-06-17,18-44,75976
2020-06-17,45-64,75222
2020-06-17,65-74,25600
2020-06-17,75+,24354
2020-06-16,0-17,5755
2020-06-16,18-44,75857
2020-06-16,45-64,75093
2020-06-16,65-74,25572
2020-06-16,75+,24323
2020-06-15,0-17,5739
2020-06-15,18-44,75709
2020-06-15,45-64,74934
2020-06-15,65-74,25518
2020-06-15,75+,24260
2020-06-14,0-17,5727
2020-06-14,18-44,75612
2020-06-14,45-64,74840
2020-06-14,65-74,25479
2020-06-14,75+,24220
2020-06-13,0-17,5709
2020-06-13,18-44,75434
2020-06-13,45-64,74667
2020-06-13,65-74,25429
2020-06-13,75+,24164
2020-06-12,0-17,5691
2020-06-12,18-44,75268
2020-06-12,45-64,74516
2020-06-12,65-74,25382
2020-06-12,75+,24106
2020-06-11,0-17,5668
2020-06-11,18-44,75132
2020-06-11,45-64,74372
2020-06-11,65-74,25334
2020-06-11,75+,24064
2020-06-10,0-17,5651
2020-06-10,18-44,74971
2020-06-10,45-64,74240
2020-06-10,65-74,25272
2020-06-10,75+,24005
2020-06-09,0-17,5637
2020-06-09,18-44,74851
2020-06-09,45-64,74130
2020-06-09,65-74,25234
2020-06-09,75+,23963
2020-06-08,0-17,5620
2020-06-08,18-44,74698
2020-06-08,45-64,73970
2020-06-08,65-74,25190
2020-06-08,75+,23906
2020-06-07,0-17,5602
2020-06-07,18-44,74560
2020-06-07,45-64,73850
2020-06-07,65-74,25156
2020-06-07,75+,23827
2020-06-06,0-17,5578
2020-06-06,18-44,74349
2020-06-06,45-64,73646
2020-06-06,65-74,25084
2020-06-06,75+,23739
2020-06-05,0-17,5552
2020-06-05,18-44,74196
2020-06-05,45-64,73462
2020-06-05,65-74,25023
2020-06-05,75+,23657
2020-06-04,0-17,5540
2020-06-04,18-44,74000
2020-06-04,45-64,73292
2020-06-04,65-74,24967
2020-06-04,75+,23579
2020-06-03,0-17,5535
2020-06-03,18-44,73689
2020-06-03,45-64,73046
2020-06-03,65-74,24902
2020-06-03,75+,23527
2020-06-02,0-17,5526
2020-06-02,18-44,73564
2020-06-02,45-64,72943
2020-06-02,65-74,24882
2020-06-02,75+,23495
2020-06-01,0-17,5513
2020-06-01,18-44,73436
2020-06-01,45-64,72851
2020-06-01,65-74,24852
2020-06-01,75+,23470
2020-05-31,0-17,5497
2020-05-31,18-44,73188
2020-05-31,45-64,72615
2020-05-31,65-74,24778
2020-05-31,75+,23388
2020-05-30,0-17,5457
2020-05-30,18-44,72845
2020-05-30,45-64,72314
2020-05-30,65-74,24689
2020-05-30,75+,23306
2020-05-29,0-17,5418
2020-05-29,18-44,72536
2020-05-29,45-64,72037
2020-05-29,65-74,24604
2020-05-29,75+,23240
2020-05-28,0-17,5370
2020-05-28,18-44,72173
2020-05-28,45-64,71691
2020-05-28,65-74,24521
2020-05-28,75+,23181
2020-05-27,0-17,5340
2020-05-27,18-44,71912
2020-05-27,45-64,71435
2020-05-27,65-74,24444
2020-05-27,75+,23091
2020-05-26,0-17,5322
2020-05-26,18-44,71725
2020-05-26,45-64,71236
2020-05-26,65-74,24393
2020-05-26,75+,23028
2020-05-25,0-17,5290
2020-05-25,18-44,71503
2020-05-25,45-64,70995
2020-05-25,65-74,24334
2020-05-25,75+,22944
2020-05-24,0-17,5245
2020-05-24,18-44,71209
2020-05-24,45-64,70739
2020-05-24,65-74,24236
2020-05-24,75+,22852
2020-05-23,0-17,5212
2020-05-23,18-44,70933
2020-05-23,45-64,70497
2020-05-23,65-74,24155
2020-05-23,75+,22768
2020-05-22,0-17,5102
2020-05-22,18-44,70538
2020-05-22,45-64,70177
2020-05-22,65-74,24029
2020-05-22,75+,22602
2020-05-21,0-17,5070
2020-05-21,18-44,70349
2020-05-21,45-64,70033
2020-05-21,65-74,23954
2020-05-21,75+,22543
2020-05-20,0-17,5025
2020-05-20,18-44,70069
2020-05-20,45-64,69804
2020-05-20,65-74,23855
2020-05-20,75+,22477
2020-05-19,0-17,4990
2020-05-19,18-44,69862
2020-05-19,45-64,69612
2020-05-19,65-74,23789
2020-05-19,75+,22396
