DATE,AGE_GROUP,ONE_DOSE_VAX_PCT,FULL_VAX_PCT
2021-03-26,0-17,0,0
2021-03-26,18-44,0.18168550836293346,0.08703657463033035
2021-03-26,45-64,0.3232757435970655,0.13926070521275277
2021-03-26,65-74,0.5554003575428313,0.3336027657398837
2021-03-26,75+,0.48201600119396815,0.31119672654935643
2021-03-27,0-17,0,0
2021-03-27,18-44,0.19260476961185774,0.09226450110981294
2021-03-27,45-64,0.34515203603942585,0.1509039292808438
2021-03-27,65-74,0.568497276692241,0.35282104076962084
2021-03-27,75+,0.49211439360873077,0.32667019886776916
2021-03-28,0-17,0,0
2021-03-28,18-44,0.19733559505229664,0.09501280137864852
2021-03-28,45-64,0.3540947145024793,0.15627026657308385
2021-03-28,65-74,0.5735599162487209,0.3608942744454255
2021-03-28,75+,0.49562390850069477,0.3325940758528208
2021-03-29,0-17,0,0
2021-03-29,18-44,0.20085451771601848,0.09708975740477367
2021-03-29,45-64,0.36038083927242537,0.1603032777423068
2021-03-29,65-74,0.5769572687623027,0.37118510841060337
2021-03-29,75+,0.4977568608044431,0.3406154780899579
2021-03-30,0-17,0,0
2021-03-30,18-44,0.2049412273359766,0.10503280845215199
2021-03-30,45-64,0.3674280228975991,0.17518798492937762
2021-03-30,65-74,0.5802711482411528,0.3877795477152729
2021-03-30,75+,0.5003071209310745,0.353067444007033
2021-03-31,0-17,0,0
2021-03-31,18-44,0.21103955908040864,0.11060391454066278
2021-03-31,45-64,0.37591038373235514,0.1851901900180629
2021-03-31,65-74,0.5851278876452944,0.39772118615182295
2021-03-31,75+,0.5042854288014894,0.36050172043461876
2021-04-01,0-17,0,0
2021-04-01,18-44,0.2160693784481241,0.11319673386551356
2021-04-01,45-64,0.3841034151878071,0.19090204892399945
2021-04-01,65-74,0.5900402757392572,0.4083709541663473
2021-04-01,75+,0.5083829389829305,0.3687601906811881
2021-04-02,0-17,0,0
2021-04-02,18-44,0.22273446207419195,0.11691617507000188
2021-04-02,45-64,0.3930569652621316,0.1988902612430258
2021-04-02,65-74,0.595915386167126,0.41985684374543447
2021-04-02,75+,0.5127265188500407,0.3775261918017241
2021-04-03,0-17,0,0
2021-04-03,18-44,0.23005116196208442,0.12152430762123635
2021-04-03,45-64,0.403669886056644,0.20887863845247595
2021-04-03,65-74,0.6021424745581138,0.43085163363685
2021-04-03,75+,0.517236373998653,0.38579860100764507
2021-04-04,0-17,0,0
2021-04-04,18-44,0.23567151247484647,0.1250603679787593
2021-04-04,45-64,0.4115077908013823,0.21593850413801746
2021-04-04,65-74,0.6065206352297934,0.4409546532738814
2021-04-04,75+,0.5204658702691591,0.39313409085794065
2021-04-05,0-17,0,0
2021-04-05,18-44,0.23966809410117626,0.1275363144039247
2021-04-05,45-64,0.41595761310506746,0.22064623701036015
2021-04-05,65-74,0.6092919399828871,0.44810968356763686
2021-04-05,75+,0.5223212742980405,0.3982721317348227
2021-04-06,0-17,0,0
2021-04-06,18-44,0.24857470681946892,0.1379734036955422
2021-04-06,45-64,0.42546525064972585,0.23761089135630326
2021-04-06,65-74,0.6131678712289309,0.45982929764397285
2021-04-06,75+,0.5253807207205649,0.4068110263601486
2021-04-07,0-17,0,0
2021-04-07,18-44,0.25543084746533573,0.14088985153087555
2021-04-07,45-64,0.4328489449124225,0.24337558276332893
2021-04-07,65-74,0.6177477584012122,0.46745455936671715
2021-04-07,75+,0.5289510958089011,0.4129709535513185
2021-04-08,0-17,0.0027750476961322774,9.472518578143831e-4
2021-04-08,18-44,0.2514960034301032,0.13847232325448558
2021-04-08,45-64,0.42634917508049824,0.24108547824775325
2021-04-08,65-74,0.6832057395069292,0.5190168527738862
2021-04-08,75+,0.5982310538555594,0.4686188874059985
2021-04-09,0-17,0.0032920337452915357,9.96170967842356e-4
2021-04-09,18-44,0.2614669664465033,0.1435408003937841
2021-04-09,45-64,0.4358538427169027,0.2502423154940595
2021-04-09,65-74,0.6898194334742441,0.5310189733114761
2021-04-09,75+,0.6038951179164236,0.4786963262500899
2021-04-10,0-17,0.003889625146201431,0.001054540360489369
2021-04-10,18-44,0.27170816783267393,0.14959804555340137
2021-04-10,45-64,0.4457758116557916,0.2607876193317564
2021-04-10,65-74,0.6967661801754179,0.5430180383193975
2021-04-10,75+,0.6098788469683771,0.48853002053847566
2021-04-11,0-17,0.004586722464100044,0.0011395929040607308
2021-04-11,18-44,0.28265181667097916,0.15557028480711843
2021-04-11,45-64,0.4559989798244099,0.27118874723484354
2021-04-11,65-74,0.7044156987003305,0.5546641896506155
2021-04-11,75+,0.6161522724185055,0.49765645603407627
2021-04-12,0-17,0.005098705422460987,0.0011640524590747173
2021-04-12,18-44,0.2881975904846227,0.15885421228674215
2021-04-12,45-64,0.4610132570485616,0.27835138863313125
2021-04-12,65-74,0.7080090015904031,0.5619149615537979
2021-04-12,75+,0.6189193724976225,0.5029888676666853
2021-04-13,0-17,0.005857507526872157,0.0012179746599010055
2021-04-13,18-44,0.29693539350124104,0.1642371538414485
2021-04-13,45-64,0.46869883360241416,0.2869500794395125
2021-04-13,65-74,0.7133668728639938,0.5693032322920597
2021-04-13,75+,0.6235904771799154,0.5093122407716713
2021-04-14,0-17,0.007022671783902055,0.0013469432227020248
2021-04-14,18-44,0.312870841854266,0.17197498873528155
2021-04-14,45-64,0.4801563000363057,0.29768666620035505
2021-04-14,65-74,0.7188026601441293,0.5771819155421044
2021-04-14,75+,0.6276362372233899,0.5152979677298192
2021-04-15,0-17,0.007923784026576418,0.0014003095245507225
2021-04-15,18-44,0.3200630307304965,0.17545735905604387
2021-04-15,45-64,0.4862878217966415,0.30469799424152755
2021-04-15,65-74,0.7227885985965953,0.5832761694657864
2021-04-15,75+,0.6307050211378475,0.51978726294843
2021-04-16,0-17,0.008687033322808313,0.0014603466141305073
2021-04-16,18-44,0.32766818748741783,0.18008903219914588
2021-04-16,45-64,0.4932958190406448,0.31394428718323525
2021-04-16,65-74,0.7275109196991526,0.5911854080125154
2021-04-16,75+,0.6343252271619343,0.5256750925030568
2021-04-17,0-17,0.009836076509488085,0.0015353929761052383
2021-04-17,18-44,0.33973385684718266,0.1859093521142778
2021-04-17,45-64,0.503223973745705,0.32539794699179053
2021-04-17,65-74,0.7334523971394131,0.6010685187250497
2021-04-17,75+,0.6388824511911517,0.5331332763264099
2021-04-18,0-17,0.010717176388969185,0.0015920946718194797
2021-04-18,18-44,0.34795387051130766,0.19033683877395063
2021-04-18,45-64,0.5099778787485149,0.33445819112018993
2021-04-18,65-74,0.737438335591879,0.6087333148983043
2021-04-18,75+,0.6417814130790931,0.5389691603199847
2021-04-19,0-17,0.011415385504822979,0.0016426814787802242
2021-04-19,18-44,0.3532457753357087,0.19397084125118355
2021-04-19,45-64,0.5146861984612668,0.3411530934302881
2021-04-19,65-74,0.7403090057153683,0.6138253550907415
2021-04-19,75+,0.6440790052025477,0.5427212281528958
2021-04-20,0-17,0.012861834644513721,0.0017371843049706264
2021-04-20,18-44,0.3657789771779245,0.19870647431974456
2021-04-20,45-64,0.5236527044407615,0.347893199416254
2021-04-20,65-74,0.7454789619143505,0.6181443462770663
2021-04-20,75+,0.6477791274744068,0.5458579408779599
2021-04-21,0-17,0.013535584205353529,0.0017833239201106462
2021-04-21,18-44,0.370597031513355,0.20166646037418107
2021-04-21,45-64,0.5286660300085791,0.3534408800156452
2021-04-21,65-74,0.7491624029296419,0.622200561911906
2021-04-21,75+,0.6509577962295514,0.5491964421286492
2021-04-22,0-17,0.014125393020577156,0.001832243030138619
2021-04-22,18-44,0.376023911931584,0.2051508409697451
2021-04-22,45-64,0.5339753206962888,0.3594996000664256
2021-04-22,65-74,0.7530016759580231,0.6267181625266786
2021-04-22,75+,0.654408180227122,0.5527467214359352
2021-04-23,0-17,0.01478691280390997,0.0019011745033598534
2021-04-23,18-44,0.3818249906450426,0.2093758642386759
2021-04-23,45-64,0.5398413303394225,0.36688017076521257
2021-04-23,65-74,0.7570059475884996,0.6314740944555887
2021-04-23,75+,0.6581702375910047,0.5563909023343536
2021-04-24,0-17,0.015355597457985155,0.001965658784760363
2021-04-24,18-44,0.3866154754974784,0.21393660339948956
2021-04-24,45-64,0.5448456151720666,0.37423457091481294
2021-04-24,65-74,0.7605289732961985,0.6357289195188763
2021-04-24,75+,0.6610971701656664,0.559613525025773
2021-04-25,0-17,0.01607493073498739,0.002012910197855564
2021-04-25,18-44,0.3921937008900635,0.2188399508229347
2021-04-25,45-64,0.5501796489244618,0.3814414643326343
2021-04-25,65-74,0.7637785290985729,0.6403595747313807
2021-04-25,75+,0.6635426073474998,0.5629340451207135
2021-04-26,0-17,0.01659302858210183,0.00205515852015245
2021-04-26,18-44,0.39636042618974526,0.22290731111098985
2021-04-26,45-64,0.5540666892209218,0.38670840631347847
2021-04-26,65-74,0.7659892048136815,0.6436778799512949
2021-04-26,75+,0.6654086517329838,0.5651756958707275
2021-04-27,0-17,0.017608100115182268,0.0021935773655725093
2021-04-27,18-44,0.40399573706869196,0.22906880337818064
2021-04-27,45-64,0.5605512754811931,0.39388770169761217
2021-04-27,65-74,0.7699491712639657,0.6474102094412811
2021-04-27,75+,0.668889004323469,0.5685701384948574
2021-04-28,0-17,0.01844083678361299,0.0024298344310485142
2021-04-28,18-44,0.4103249436907669,0.23704298915226998
2021-04-28,45-64,0.5663382976486,0.4040532946580199
2021-04-28,65-74,0.77412302479104,0.6554141694077315
2021-04-28,75+,0.6728408627758109,0.5753330509625912
2021-04-29,0-17,0.01921965125121742,0.0027611502216925124
2021-04-29,18-44,0.4171211084310638,0.2457170377394632
2021-04-29,45-64,0.5727329523853029,0.4154936312778984
2021-04-29,65-74,0.7787139581178548,0.6643271494505394
2021-04-29,75+,0.6770864134387162,0.5835304600778384
2021-04-30,0-17,0.019756093764592347,0.003284251159605267
2021-04-30,18-44,0.42209108210507934,0.25400511356473127
2021-04-30,45-64,0.5778595250568733,0.42403141607889994
2021-04-30,65-74,0.7825990640912626,0.6705573744444665
2021-04-30,75+,0.68081650430348994,0.5886490957476564
2021-05-01,0-17,0.02024139357202894,0.003894072338022156
2021-05-01,18-44,0.4270326247497567,0.2621814755474481
2021-05-01,45-64,0.5829694437425978,0.4317050969285768
2021-05-01,65-74,0.7867270846733104,0.6766027398934537
2021-05-01,75+,0.684496647513406,0.5934640496759396
